timestamp,open,high,low,close
2021-01-06 06:55:00,35055.4,35118.49,35044.0,35101.66
2021-01-06 06:56:00,35101.66,35160.0,35100.0,35125.82
2021-01-06 06:57:00,35125.75,35199.87,35113.53,35162.08
2021-01-06 06:58:00,35162.09,35209.0,35162.08,35179.18
2021-01-06 06:59:00,35179.17,35181.39,35120.0,35125.51
2021-01-06 07:00:00,35125.49,35155.0,35120.45,35145.49
2021-01-06 07:01:00,35145.49,35210.0,35141.24,35208.32
2021-01-06 07:02:00,35208.31,35248.63,35177.0,35199.52
2021-01-06 07:03:00,35199.51,35202.54,35133.5,35150.24
2021-01-06 07:04:00,35150.25,35189.75,35092.26,35159.34
2021-01-06 07:05:00,35159.33,35200.0,35154.01,35160.0
2021-01-06 07:06:00,35159.99,35160.0,35130.51,35154.26
2021-01-06 07:07:00,35151.65,35160.46,35085.5,35092.08
2021-01-06 07:08:00,35092.08,35092.08,34961.02,34997.9
2021-01-06 07:09:00,34997.89,35014.0,34943.48,34943.48
2021-01-06 07:10:00,34943.41,35000.0,34923.02,34999.71
2021-01-06 07:11:00,34998.78,35025.88,34991.84,35003.26
2021-01-06 07:12:00,35003.26,35044.8,35001.5,35021.93
2021-01-06 07:13:00,35021.93,35025.81,34937.58,34956.55
2021-01-06 07:14:00,34956.55,35009.12,34944.63,34977.75
2021-01-06 07:15:00,34977.74,35010.95,34940.73,34943.66
2021-01-06 07:16:00,34944.73,34950.53,34840.87,34844.55
2021-01-06 07:17:00,34844.88,34915.61,34828.57,34871.55
2021-01-06 07:18:00,34874.06,34911.59,34874.06,34875.77
2021-01-06 07:19:00,34875.77,34904.34,34868.5,34882.44
2021-01-06 07:20:00,34882.45,34922.92,34882.44,34908.33
2021-01-06 07:21:00,34908.34,34922.49,34863.0,34863.01
2021-01-06 07:22:00,34863.01,34910.58,34808.27,34903.39
2021-01-06 07:23:00,34903.38,34959.15,34903.38,34928.19
2021-01-06 07:24:00,34928.21,34932.8,34860.75,34893.22
2021-01-06 07:25:00,34893.22,34917.74,34872.86,34907.26
2021-01-06 07:26:00,34907.26,34975.99,34904.02,34955.55
2021-01-06 07:27:00,34952.17,34960.0,34925.08,34942.51
2021-01-06 07:28:00,34942.51,35000.0,34940.74,34995.54
2021-01-06 07:29:00,34998.8,35049.17,34995.22,35014.8
2021-01-06 07:30:00,35014.8,35025.19,34955.25,34965.44
2021-01-06 07:31:00,34960.48,34960.48,34877.28,34880.99
2021-01-06 07:32:00,34880.99,34908.23,34813.67,34847.06
2021-01-06 07:33:00,34850.25,34879.06,34831.2,34878.04
2021-01-06 07:34:00,34878.53,34887.25,34833.2,34874.54
2021-01-06 07:35:00,34874.55,34936.8,34856.71,34925.07
2021-01-06 07:36:00,34925.07,34927.53,34900.97,34905.82
2021-01-06 07:37:00,34905.81,34909.79,34867.14,34901.64
2021-01-06 07:38:00,34901.65,34906.51,34858.96,34903.03
2021-01-06 07:39:00,34903.03,34910.32,34865.3,34865.46
